0.00100, 2.00000, -0.00200
0.00200, 2.00000, -0.00399
0.00300, 1.99999, -0.00597
0.00400, 1.99998, -0.00795
0.00500, 1.99998, -0.00993
0.00600, 1.99996, -0.01189
0.00700, 1.99995, -0.01385
0.00800, 1.99994, -0.01581
0.00900, 1.99992, -0.01776
0.01000, 1.99990, -0.01970
0.01100, 1.99988, -0.02164
0.01200, 1.99986, -0.02357
0.01300, 1.99983, -0.02550
0.01400, 1.99981, -0.02742
0.01500, 1.99978, -0.02933
0.01600, 1.99975, -0.03124
0.01700, 1.99972, -0.03315
0.01800, 1.99968, -0.03504
0.01900, 1.99965, -0.03694
0.02000, 1.99961, -0.03882
0.02100, 1.99957, -0.04070
0.02200, 1.99953, -0.04258
0.02300, 1.99948, -0.04445
0.02400, 1.99944, -0.04631
0.02500, 1.99939, -0.04817
0.02600, 1.99934, -0.05002
0.02700, 1.99929, -0.05187
0.02800, 1.99924, -0.05371
0.02900, 1.99918, -0.05554
0.03000, 1.99913, -0.05737
0.03100, 1.99907, -0.05920
0.03200, 1.99901, -0.06102
0.03300, 1.99895, -0.06283
0.03400, 1.99888, -0.06464
0.03500, 1.99882, -0.06644
0.03600, 1.99875, -0.06824
0.03700, 1.99868, -0.07003
0.03800, 1.99861, -0.07181
0.03900, 1.99854, -0.07360
0.04000, 1.99846, -0.07537
0.04100, 1.99839, -0.07714
0.04200, 1.99831, -0.07891
0.04300, 1.99823, -0.08067
0.04400, 1.99815, -0.08242
0.04500, 1.99806, -0.08417
0.04600, 1.99798, -0.08591
0.04700, 1.99789, -0.08765
0.04800, 1.99780, -0.08938
0.04900, 1.99771, -0.09111
0.05000, 1.99762, -0.09283
0.05100, 1.99753, -0.09455
0.05200, 1.99743, -0.09626
0.05300, 1.99733, -0.09797
0.05400, 1.99724, -0.09967
0.05500, 1.99714, -0.10137
0.05600, 1.99703, -0.10306
0.05700, 1.99693, -0.10475
0.05800, 1.99682, -0.10643
0.05900, 1.99672, -0.10810
0.06000, 1.99661, -0.10978
0.06100, 1.99650, -0.11144
0.06200, 1.99638, -0.11310
0.06300, 1.99627, -0.11476
0.06400, 1.99615, -0.11641
0.06500, 1.99604, -0.11806
0.06600, 1.99592, -0.11970
0.06700, 1.99580, -0.12133
0.06800, 1.99568, -0.12297
0.06900, 1.99555, -0.12459
0.07000, 1.99543, -0.12621
0.07100, 1.99530, -0.12783
0.07200, 1.99517, -0.12944
0.07300, 1.99504, -0.13105
0.07400, 1.99491, -0.13265
0.07500, 1.99478, -0.13425
0.07600, 1.99464, -0.13584
0.07700, 1.99450, -0.13743
0.07800, 1.99437, -0.13901
0.07900, 1.99423, -0.14059
0.08000, 1.99408, -0.14216
0.08100, 1.99394, -0.14373
0.08200, 1.99380, -0.14530
0.08300, 1.99365, -0.14685
0.08400, 1.99350, -0.14841
0.08500, 1.99335, -0.14996
0.08600, 1.99320, -0.15150
0.08700, 1.99305, -0.15304
0.08800, 1.99290, -0.15458
0.08900, 1.99274, -0.15611
0.09000, 1.99259, -0.15764
0.09100, 1.99243, -0.15916
0.09200, 1.99227, -0.16068
0.09300, 1.99211, -0.16219
0.09400, 1.99194, -0.16370
0.09500, 1.99178, -0.16520
0.09600, 1.99161, -0.16670
0.09700, 1.99144, -0.16820
0.09800, 1.99128, -0.16969
0.09900, 1.99111, -0.17117
0.10000, 1.99093, -0.17265
0.10100, 1.99076, -0.17413
0.10200, 1.99059, -0.17560
0.10300, 1.99041, -0.17707
0.10400, 1.99023, -0.17854
0.10500, 1.99005, -0.18000
0.10600, 1.98987, -0.18145
0.10700, 1.98969, -0.18290
0.10800, 1.98951, -0.18435
0.10900, 1.98932, -0.18579
0.11000, 1.98913, -0.18723
0.11100, 1.98895, -0.18866
0.11200, 1.98876, -0.19009
0.11300, 1.98857, -0.19152
0.11400, 1.98837, -0.19294
0.11500, 1.98818, -0.19435
0.11600, 1.98798, -0.19576
0.11700, 1.98779, -0.19717
0.11800, 1.98759, -0.19858
0.11900, 1.98739, -0.19998
0.12000, 1.98719, -0.20137
0.12100, 1.98699, -0.20276
0.12200, 1.98678, -0.20415
0.12300, 1.98658, -0.20553
0.12400, 1.98637, -0.20691
0.12500, 1.98617, -0.20829
0.12600, 1.98596, -0.20966
0.12700, 1.98575, -0.21102
0.12800, 1.98554, -0.21239
0.12900, 1.98532, -0.21374
0.13000, 1.98511, -0.21510
0.13100, 1.98489, -0.21645
0.13200, 1.98467, -0.21780
0.13300, 1.98446, -0.21914
0.13400, 1.98424, -0.22048
0.13500, 1.98402, -0.22181
0.13600, 1.98379, -0.22314
0.13700, 1.98357, -0.22447
0.13800, 1.98334, -0.22579
0.13900, 1.98312, -0.22711
0.14000, 1.98289, -0.22843
0.14100, 1.98266, -0.22974
0.14200, 1.98243, -0.23105
0.14300, 1.98220, -0.23235
0.14400, 1.98197, -0.23365
0.14500, 1.98173, -0.23494
0.14600, 1.98150, -0.23624
0.14700, 1.98126, -0.23753
0.14800, 1.98102, -0.23881
0.14900, 1.98078, -0.24009
0.15000, 1.98054, -0.24137
0.15100, 1.98030, -0.24264
0.15200, 1.98006, -0.24391
0.15300, 1.97981, -0.24518
0.15400, 1.97956, -0.24644
0.15500, 1.97932, -0.24770
0.15600, 1.97907, -0.24895
0.15700, 1.97882, -0.25020
0.15800, 1.97857, -0.25145
0.15900, 1.97832, -0.25269
0.16000, 1.97806, -0.25393
0.16100, 1.97781, -0.25517
0.16200, 1.97755, -0.25640
0.16300, 1.97730, -0.25763
0.16400, 1.97704, -0.25886
